Year,Quarter,Segment,Region,Subscribers,Revenue_QR_Mn,ARPU_QR,Data_Usage_GB,Voice_Minutes_Mn,Customer_Satisfaction_Index,Churn_Rate_Pct,Complaints_Resolved_Pct,New_Activations,Deactivations,Avg_Resolution_Time_Hours,eSIM_Activations,Recharge_Transactions_Thousand,Retail_Store_Visits_Thousand,Digital_Sales_Pct,Network_Availability_Pct
2021,Q2,Fixed Broadband,Doha,91784,170.82,112.98,234.61,75.17,77.52,2.21,94.75,34295,12207,4.36,5457,526,252,50.01,99.9429
2021,Q2,Fixed Broadband,Al Rayyan,118572,166.78,112.34,272.68,50.95,79.6,3.09,97.5,28491,8587,4.99,4533,586,182,57.88,99.9244
2021,Q2,Fixed Broadband,Al Wakrah,87920,164.8,110.79,237.73,49.79,73.99,1.96,98.49,24091,7017,4.18,4917,812,177,49.91,99.9661
2021,Q2,Fixed Broadband,Umm Salal,110624,154.67,101.39,244.65,55.72,77.51,2.13,97.88,34118,9618,7.32,4806,836,207,69.19,99.92
2021,Q2,Fixed Broadband,Al Khor,105788,141.57,104.07,243.29,69.23,74.2,2.47,96.19,25573,11192,4.95,4482,527,236,50.36,99.942
2021,Q2,Managed Services,Doha,101352,188.69,99.04,259.43,58.28,81.03,2.75,99.69,32303,10160,3.21,5197,768,149,59.7,100.0091
2021,Q2,Managed Services,Al Rayyan,86546,166.23,108.66,244.57,49.12,79.04,2.47,97.89,34278,10138,6.05,4254,515,179,66.15,99.9256
2021,Q2,Managed Services,Al Wakrah,106666,147.33,103.8,235.9,53.82,79.01,2.37,98.38,27069,7461,5.73,5737,500,248,48.41,99.9391
2021,Q2,Managed Services,Umm Salal,91880,185.88,104.34,266.46,68.5,79.51,2.54,98.6,35316,10308,4.5,5095,491,216,61.46,99.9467
2021,Q2,Managed Services,Al Khor,96603,119.09,110.86,244.83,75.02,80.11,1.95,94.8,26947,9608,4.77,4951,768,160,39.24,99.9166
2021,Q2,IoT,Doha,106293,137.23,103.4,224.32,52.42,86.52,2.09,97.37,35211,7095,4.94,4888,544,214,54.33,99.9405
2021,Q2,IoT,Al Rayyan,116545,136.0,102.57,300.93,78.45,87.92,2.47,96.16,30812,10832,4.43,5449,726,127,75.45,99.9508
2021,Q2,IoT,Al Wakrah,111100,169.55,103.43,233.08,52.65,79.77,1.29,99.84,29303,12024,5.38,4565,513,188,66.61,99.9675
2021,Q2,IoT,Umm Salal,87791,151.94,107.69,250.17,41.25,84.9,3.18,99.85,26071,10666,5.83,4472,530,215,60.72,99.9208
2021,Q2,IoT,Al Khor,104349,146.32,107.24,229.16,62.58,88.86,2.37,95.41,18888,9832,5.47,4551,613,199,52.8,99.9471
2021,Q2,Devices,Doha,99829,160.58,113.16,235.4,53.36,81.65,3.33,98.97,23405,11824,2.91,6285,549,128,62.65,99.9586
2021,Q2,Devices,Al Rayyan,108454,158.83,107.29,273.54,60.11,75.94,2.35,95.77,33688,10683,3.44,5845,601,166,50.37,99.9424
2021,Q2,Devices,Al Wakrah,98262,103.99,104.36,241.12,56.16,78.04,2.08,96.95,25734,8125,5.76,6306,433,192,75.62,99.9556
2021,Q2,Devices,Umm Salal,99468,150.53,106.85,244.52,46.01,78.77,2.06,95.97,31556,12835,4.29,5158,605,247,74.42,99.9488
2021,Q2,Devices,Al Khor,87075,131.64,106.92,247.89,67.9,77.68,2.23,97.95,22599,9163,5.08,2813,654,191,56.06,99.9679
2021,Q3,Mobile Prepaid,Doha,93307,160.97,102.05,296.21,71.67,84.87,2.96,96.59,35286,9990,4.72,4418,624,253,69.43,99.9259
2021,Q3,Mobile Prepaid,Al Rayyan,95578,145.86,97.36,191.62,74.0,89.09,2.88,93.01,23831,8313,6.0,4481,548,257,54.24,99.964
2021,Q3,Mobile Prepaid,Al Wakrah,94544,144.63,110.08,249.39,62.69,81.14,2.76,96.04,35291,10591,4.66,6852,667,154,71.51,99.958
2021,Q3,Mobile Prepaid,Umm Salal,109614,183.25,106.12,225.83,67.54,75.96,3.06,97.24,26744,6382,4.9,4691,600,231,59.05,99.9501
2021,Q3,Mobile Prepaid,Al Khor,94307,129.98,104.23,263.77,57.34,82.28,2.84,99.24,24579,8951,4.78,4844,437,238,65.0,99.9782
2021,Q3,Mobile Postpaid,Doha,88240,185.69,116.34,279.95,70.31,85.21,2.71,96.02,29012,8513,5.73,5501,760,195,84.3,99.9774
2021,Q3,Mobile Postpaid,Al Rayyan,80204,110.65,107.72,179.62,46.43,77.92,2.54,99.91,34706,9570,5.98,6525,499,290,58.11,99.9205
2021,Q3,Mobile Postpaid,Al Wakrah,89447,147.76,108.49,220.57,64.05,79.25,2.92,97.06,36187,10598,6.39,5353,550,197,32.39,99.948
2021,Q3,Mobile Postpaid,Umm Salal,114532,141.57,107.89,228.38,61.28,84.2,1.97,97.75,26913,9078,3.15,6558,499,231,72.65,99.96
2021,Q3,Mobile Postpaid,Al Khor,112127,121.64,102.15,226.06,60.71,85.7,3.14,93.2,22427,9425,4.96,4725,474,259,77.95,99.9529
2021,Q3,Fixed Broadband,Doha,105122,125.59,102.44,282.2,53.07,89.33,2.05,99.07,33351,9074,6.37,5166,613,234,38.63,99.944
2021,Q3,Fixed Broadband,Al Rayyan,94538,150.73,105.31,242.09,59.27,82.69,2.85,95.49,28321,8043,5.9,4732,642,208,57.82,99.9237
2021,Q3,Fixed Broadband,Al Wakrah,102285,127.78,98.21,251.9,89.72,80.33,1.74,95.64,31513,14272,5.96,3203,559,195,66.0,99.9301
2021,Q3,Fixed Broadband,Umm Salal,102985,130.95,98.61,245.6,45.16,75.9,3.26,98.16,33630,9457,3.22,4109,544,140,52.25,99.9506
2021,Q3,Fixed Broadband,Al Khor,82967,177.75,102.73,187.99,69.57,81.34,2.59,95.56,24421,6592,6.12,6049,782,235,66.65,99.9185
2021,Q3,Managed Services,Doha,99574,166.3,99.66,236.66,59.13,78.89,2.12,97.58,40452,10158,6.42,4481,679,252,68.53,99.9484
2021,Q3,Managed Services,Al Rayyan,118985,174.31,102.21,239.67,67.74,84.87,2.8,98.6,27621,6364,4.32,6397,665,159,58.83,99.9739
2021,Q3,Managed Services,Al Wakrah,87916,176.54,103.87,196.66,52.07,85.28,3.41,98.82,42128,9877,5.7,6850,605,242,54.48,99.9846
2021,Q3,Managed Services,Umm Salal,115894,148.69,100.17,269.49,60.05,78.09,3.19,96.38,32884,13258,6.05,5461,541,210,54.92,99.9423
2021,Q3,Managed Services,Al Khor,97670,164.66,104.58,224.48,61.85,82.35,1.63,93.69,31651,9137,5.79,4655,775,229,49.09,99.9332
2021,Q3,IoT,Doha,97889,157.29,109.32,239.86,49.95,80.08,2.31,95.36,20723,10231,5.26,4738,445,150,61.33,99.936
2021,Q3,IoT,Al Rayyan,92190,145.73,106.17,298.14,57.7,72.89,3.71,98.03,31933,10792,4.34,4669,634,177,48.82,99.9401
2021,Q3,IoT,Al Wakrah,95142,172.8,100.4,217.92,34.64,88.14,2.21,100.83,28711,13162,5.44,5100,637,188,61.17,99.9172
2021,Q3,IoT,Umm Salal,100164,116.71,100.06,314.38,48.44,74.24,3.32,98.38,27894,9576,5.49,5904,622,194,64.71,99.9529
2021,Q3,IoT,Al Khor,98969,148.82,109.84,272.52,56.75,83.42,3.58,92.55,30751,12371,4.15,4069,486,172,64.81,99.9533
2021,Q3,Devices,Doha,86981,148.09,115.44,254.45,55.16,83.03,3.68,98.56,33196,12430,4.84,3611,529,202,56.9,99.9849
2021,Q3,Devices,Al Rayyan,83704,162.64,97.98,268.63,63.39,82.62,1.8,99.58,36571,12512,5.17,4321,487,182,72.79,99.9657
2021,Q3,Devices,Al Wakrah,113605,164.57,108.93,260.28,28.24,82.41,2.17,94.18,27038,8766,4.38,4877,647,96,63.37,99.9729
2021,Q3,Devices,Umm Salal,81578,154.64,104.47,234.46,53.27,75.11,2.22,98.29,29448,10924,5.34,4157,801,236,59.82,99.9331
2021,Q3,Devices,Al Khor,95712,103.93,99.8,218.85,79.16,78.57,2.03,98.16,38306,9532,5.54,4640,432,167,61.06,99.9397
2021,Q4,Mobile Prepaid,Doha,110093,208.33,100.93,235.89,49.93,79.42,2.79,98.23,34140,11575,4.23,6078,451,228,62.43,99.9274
2021,Q4,Mobile Prepaid,Al Rayyan,100172,188.54,103.54,224.26,65.54,72.53,2.32,98.59,27633,12569,4.36,5027,704,220,74.31,99.9148
2021,Q4,Mobile Prepaid,Al Wakrah,96531,130.98,110.17,224.39,62.24,79.65,2.6,98.91,29485,11510,2.89,3778,553,196,46.7,99.9586
2021,Q4,Mobile Prepaid,Umm Salal,98742,149.66,109.66,213.81,63.59,78.18,2.45,96.23,33563,7438,7.17,4427,759,207,54.37,99.9553
2021,Q4,Mobile Prepaid,Al Khor,112477,113.17,105.87,286.15,49.35,76.82,2.75,95.07,20212,8008,4.78,5696,739,153,59.3,99.9624
2021,Q4,Mobile Postpaid,Doha,89619,160.9,106.42,207.86,73.74,77.84,2.98,97.16,26039,10752,5.84,4019,479,206,56.94,99.9806
2021,Q4,Mobile Postpaid,Al Rayyan,97210,149.61,100.98,303.96,74.28,70.89,3.53,101.0,24622,8832,2.98,5240,650,265,60.0,99.9549
2021,Q4,Mobile Postpaid,Al Wakrah,108822,136.09,104.91,301.83,57.96,78.62,1.7,97.16,24582,7211,4.08,5037,550,241,73.38,99.9432
2021,Q4,Mobile Postpaid,Umm Salal,86177,106.73,112.39,264.61,63.68,76.0,2.91,98.11,29087,10975,4.92,4419,514,236,46.15,99.9337
2021,Q4,Mobile Postpaid,Al Khor,93303,128.99,107.53,255.89,59.66,82.94,2.69,95.61,29060,9931,7.23,4724,668,177,64.66,99.9746
2021,Q4,Fixed Broadband,Doha,106094,189.6,97.67,309.11,65.91,73.24,2.41,96.8,32325,11059,5.74,4781,479,227,67.69,99.9681
2021,Q4,Fixed Broadband,Al Rayyan,103673,140.79,108.35,185.66,48.72,77.17,2.94,95.58,29100,11890,3.42,4898,512,185,50.47,99.952
2021,Q4,Fixed Broadband,Al Wakrah,106215,156.55,97.7,256.41,74.53,80.66,1.92,93.05,27632,12112,5.26,3830,381,221,75.29,99.9736
2021,Q4,Fixed Broadband,Umm Salal,107312,132.06,97.76,220.58,43.44,82.24,3.34,100.78,29575,8693,4.67,6195,696,143,54.93,99.9664
2021,Q4,Fixed Broadband,Al Khor,94106,157.98,110.12,264.24,73.17,84.15,1.45,94.54,22000,9982,6.56,5319,689,103,56.72,99.9589
2021,Q4,Managed Services,Doha,109764,133.14,97.16,297.67,37.42,78.97,2.86,99.51,28059,11738,6.12,4451,505,59,80.45,99.9622
2021,Q4,Managed Services,Al Rayyan,100587,148.13,113.47,197.32,61.31,80.16,1.93,98.77,31335,9895,6.35,6013,609,162,65.14,99.9382
2021,Q4,Managed Services,Al Wakrah,84534,147.83,107.23,268.67,64.67,78.45,1.59,102.01,33299,15376,7.97,4949,475,145,54.41,99.9793
2021,Q4,Managed Services,Umm Salal,84689,162.56,106.22,238.07,57.52,76.94,1.64,97.04,26426,8789,5.53,5918,629,182,62.1,99.9746
2021,Q4,Managed Services,Al Khor,118231,139.43,106.93,193.73,83.58,86.14,2.1,98.32,29541,13324,5.4,4907,730,176,61.45,99.9506
2021,Q4,IoT,Doha,97137,193.34,109.27,236.44,50.83,84.13,3.24,95.45,29782,8644,5.39,5218,482,256,60.72,99.9048
2021,Q4,IoT,Al Rayyan,104209,146.5,111.43,307.63,63.11,80.75,3.87,96.19,20313,12055,4.64,4581,522,174,35.62,99.9649
2021,Q4,IoT,Al Wakrah,120252,154.79,105.79,340.3,67.42,77.47,3.33,99.11,25853,12302,5.27,2883,683,305,47.44,99.9395
2021,Q4,IoT,Umm Salal,111865,138.61,105.56,239.39,63.33,72.24,2.76,96.43,26783,11727,5.85,4324,591,167,36.89,99.9503
2021,Q4,IoT,Al Khor,86099,169.66,107.13,251.49,77.43,83.71,2.79,95.31,24682,13215,4.3,6138,617,207,63.34,99.9572
2021,Q4,Devices,Doha,116165,173.02,100.03,244.31,71.2,79.52,1.83,100.98,35445,7494,5.89,3829,709,223,74.91,99.9516
2021,Q4,Devices,Al Rayyan,99459,154.09,105.99,268.07,38.5,88.3,3.04,97.51,20868,10792,5.43,5769,765,281,52.14,99.9391
2021,Q4,Devices,Al Wakrah,102239,150.19,108.81,247.94,81.13,69.0,3.37,100.33,28123,8512,4.2,6524,633,192,68.99,99.9768
2021,Q4,Devices,Umm Salal,110724,151.62,103.46,249.81,58.87,78.77,1.46,95.13,28555,9976,5.13,7167,526,208,51.43,100.0027
2021,Q4,Devices,Al Khor,105423,164.49,103.58,205.13,63.93,85.74,1.72,97.61,35848,9729,5.22,4690,719,177,55.06,99.9601
2022,Q1,Mobile Prepaid,Doha,214981,331.9,115.52,501.5,102.41,80.77,1.73,98.01,30002,10691,6.83,5470,438,152,66.96,99.9361
2022,Q1,Mobile Prepaid,Al Rayyan,204237,279.98,116.09,487.09,113.9,79.2,2.16,98.57,34566,17101,6.25,4108,591,74,55.07,99.9477
2022,Q1,Mobile Prepaid,Al Wakrah,215911,293.79,103.77,517.28,135.02,82.62,2.77,98.86,35286,15057,5.31,4895,519,225,73.37,99.9447
2022,Q1,Mobile Prepaid,Umm Salal,207525,260.11,103.91,467.9,108.23,86.52,2.1,98.68,28316,10973,6.67,6616,679,180,56.69,99.9377
2022,Q1,Mobile Prepaid,Al Khor,199838,305.03,120.32,469.38,123.56,85.5,2.17,95.47,35205,9636,5.17,3748,705,186,65.5,99.9662
2022,Q1,Mobile Postpaid,Doha,207634,266.04,109.0,490.24,112.96,80.97,2.17,98.39,25411,12570,4.78,5388,658,224,50.39,99.9304
2022,Q1,Mobile Postpaid,Al Rayyan,185102,356.5,105.34,488.71,85.57,81.45,3.3,99.06,28060,10682,4.94,5896,520,142,63.23,99.9324
2022,Q1,Mobile Postpaid,Al Wakrah,204687,318.0,106.24,490.55,133.19,77.78,2.83,95.69,36945,6923,6.92,6563,453,171,64.75,99.9595
2022,Q1,Mobile Postpaid,Umm Salal,208096,286.03,111.28,529.56,136.19,79.12,1.71,95.76,28055,11989,5.28,5572,578,264,55.08,99.9209
2022,Q1,Mobile Postpaid,Al Khor,197572,296.13,104.3,456.95,111.49,76.21,3.25,97.42,28663,8940,4.53,4775,587,214,64.2,99.9326
2022,Q1,Fixed Broadband,Doha,185302,319.0,95.96,473.61,127.9,83.98,1.9,95.34,25514,11969,4.57,5719,606,222,66.68,99.9252
2022,Q1,Fixed Broadband,Al Rayyan,198458,310.83,109.14,524.33,110.95,83.58,2.82,93.71,29475,11456,5.42,7087,611,161,55.52,99.9662
2022,Q1,Fixed Broadband,Al Wakrah,216310,319.5,113.63,477.94,122.97,86.73,2.19,94.97,28338,13080,4.62,3679,497,274,60.99,99.9659
2022,Q1,Fixed Broadband,Umm Salal,196168,308.85,111.62,446.35,119.85,81.68,3.18,95.46,26594,11363,5.61,3932,493,130,62.62,99.9725
2022,Q1,Fixed Broadband,Al Khor,206790,314.62,115.04,475.67,124.34,88.14,2.42,96.88,23330,11122,5.42,7214,567,202,77.48,99.9758
2022,Q1,Managed Services,Doha,192938,303.49,113.38,469.07,110.74,77.01,2.45,98.95,33386,8776,3.87,4597,399,100,73.56,99.9448
2022,Q1,Managed Services,Al Rayyan,202291,283.37,107.18,500.25,130.64,70.71,3.11,98.3,25163,10151,4.69,5274,444,191,66.17,99.964
2022,Q1,Managed Services,Al Wakrah,191480,333.44,111.62,487.89,116.32,75.79,2.92,97.26,35282,8891,4.87,5189,667,161,70.33,99.9566
2022,Q1,Managed Services,Umm Salal,197037,327.45,98.87,489.92,107.9,80.37,1.36,97.79,31774,8683,5.88,4174,480,265,51.84,99.9266
2022,Q1,Managed Services,Al Khor,206245,284.91,103.75,481.73,133.52,75.93,2.39,94.41,29847,7114,4.03,6164,675,199,49.49,99.9245
2022,Q1,IoT,Doha,203654,289.93,106.63,508.99,113.72,83.14,3.01,96.89,29258,12282,4.83,6056,528,188,57.65,99.9237
2022,Q1,IoT,Al Rayyan,205175,269.79,108.29,483.64,133.28,78.38,2.24,98.0,31788,8292,6.95,4158,638,139,53.99,99.9383
2022,Q1,IoT,Al Wakrah,205861,308.14,114.55,495.88,120.16,76.75,2.71,97.33,27434,11359,6.82,4813,676,265,59.86,99.9165
2022,Q1,IoT,Umm Salal,194956,296.68,102.15,461.45,112.43,79.75,3.07,98.71,37319,7693,6.51,3655,601,188,67.48,99.9978
2022,Q1,IoT,Al Khor,180865,357.38,107.42,481.79,133.61,74.71,2.29,97.25,27349,8912,4.74,3864,403,156,53.8,99.9459
2022,Q1,Devices,Doha,206723,301.09,120.72,462.18,129.11,90.4,2.43,96.59,30410,10300,6.23,5508,692,235,75.02,99.9339
2022,Q1,Devices,Al Rayyan,185938,317.84,114.29,474.89,116.72,77.56,2.42,97.32,31208,11801,6.9,5147,346,227,58.53,99.9205
2022,Q1,Devices,Al Wakrah,195390,307.36,109.51,520.05,134.01,79.42,3.29,97.74,28719,8804,4.49,4377,500,170,45.78,99.9388
2022,Q1,Devices,Umm Salal,199940,306.54,104.75,518.5,119.01,75.19,2.42,98.07,32611,8753,4.62,4137,464,178,73.94,99.9562
2022,Q1,Devices,Al Khor,191763,295.31,104.44,539.9,130.35,76.69,2.83,97.43,27146,12779,3.17,5450,759,172,63.33,99.9084
2022,Q2,Mobile Prepaid,Doha,206222,309.59,104.86,521.63,126.61,87.27,3.12,95.18,30556,4960,4.85,5349,707,292,45.32,99.9418
2022,Q2,Mobile Prepaid,Al Rayyan,197107,292.74,117.74,449.85,118.97,83.15,2.86,96.34,30371,7165,6.49,5730,594,143,52.74,99.9338
2022,Q2,Mobile Prepaid,Al Wakrah,210027,315.06,105.31,545.81,102.91,89.55,3.34,92.74,28001,10939,7.01,4383,653,176,56.79,99.9304
2022,Q2,Mobile Prepaid,Umm Salal,205228,268.23,110.13,505.66,125.03,77.31,3.49,94.79,25636,12341,4.77,4325,416,247,71.23,99.9712
2022,Q2,Mobile Prepaid,Al Khor,199316,301.66,108.52,472.83,130.41,77.32,3.36,97.0,27155,5426,4.1,5131,662,247,58.67,99.9491
2022,Q2,Mobile Postpaid,Doha,196725,304.86,112.98,509.83,119.31,81.46,2.43,95.28,29895,11865,6.44,6397,649,277,69.32,99.953
2022,Q2,Mobile Postpaid,Al Rayyan,183860,306.52,109.85,471.33,131.21,79.78,2.13,97.76,22630,9474,4.84,4968,642,134,62.99,99.9745
2022,Q2,Mobile Postpaid,Al Wakrah,211820,299.02,109.84,475.35,112.55,78.19,2.58,96.4,31125,11507,5.61,4199,729,307,65.49,99.9497
2022,Q2,Mobile Postpaid,Umm Salal,188242,280.88,121.75,526.78,128.81,81.24,2.32,96.48,28093,9903,4.3,3013,464,130,66.95,99.9451
2022,Q2,Mobile Postpaid,Al Khor,187640,280.74,114.81,463.28,114.58,77.49,1.87,96.76,15294,9902,4.17,3223,329,242,64.2,99.9216
2022,Q2,Fixed Broadband,Doha,206577,318.92,109.46,526.76,112.22,90.82,2.98,99.44,25191,10053,4.23,4639,564,223,77.53,99.9456
2022,Q2,Fixed Broadband,Al Rayyan,225834,293.43,113.18,498.91,122.42,78.45,2.47,96.28,27353,8838,4.48,5679,712,171,54.64,99.9388
2022,Q2,Fixed Broadband,Al Wakrah,205325,298.3,111.72,499.52,123.23,80.03,2.63,93.88,28572,11091,4.18,5122,500,90,50.35,99.975
2022,Q2,Fixed Broadband,Umm Salal,212155,304.78,113.13,483.93,123.58,82.26,2.48,98.79,33543,8555,4.71,5405,666,189,64.79,99.964
2022,Q2,Fixed Broadband,Al Khor,197464,307.18,99.63,502.31,126.75,74.32,2.87,93.56,35905,12254,3.35,4675,651,273,65.59,99.9416
2022,Q2,Managed Services,Doha,190201,327.96,111.11,461.92,109.88,82.42,2.76,92.65,29956,10460,4.02,5294,633,68,70.18,99.9304
2022,Q2,Managed Services,Al Rayyan,228040,301.52,112.51,533.64,131.14,81.53,2.35,95.84,33516,8855,3.76,6384,574,315,62.09,99.9858
2022,Q2,Managed Services,Al Wakrah,200755,297.49,108.84,507.65,106.42,71.91,2.08,95.81,28083,8011,3.4,3097,607,243,65.62,99.9554
2022,Q2,Managed Services,Umm Salal,190024,299.12,113.98,488.72,131.52,83.38,2.41,94.05,29401,10444,4.33,7143,646,269,51.21,99.9626
2022,Q2,Managed Services,Al Khor,215721,285.28,118.32,474.48,122.03,74.46,2.03,97.88,18889,13453,5.41,4336,661,244,70.2,99.935
2022,Q2,IoT,Doha,182253,305.4,113.13,531.9,111.97,82.04,1.98,98.46,22547,11028,3.26,4491,646,40,65.55,99.9355
2022,Q2,IoT,Al Rayyan,200917,320.09,109.39,471.45,121.75,83.39,2.57,95.23,27463,12082,4.55,3462,383,305,45.87,99.9634
2022,Q2,IoT,Al Wakrah,199431,277.92,108.47,540.18,125.52,71.63,2.3,94.13,32196,8258,5.68,4514,654,233,46.65,99.9397
2022,Q2,IoT,Umm Salal,204832,322.43,101.45,522.79,108.6,84.42,2.53,97.67,26278,10910,6.35,3530,586,178,52.78,99.9378
2022,Q2,IoT,Al Khor,198918,329.88,107.68,496.75,140.64,83.2,2.01,100.27,29874,6745,5.6,4886,688,179,50.48,99.9504
